customer_id,snapshot_date,plan_type,months_subscribed,monthly_fee,churn_probability,risk_tier,suggested_action
9185-TQCVP,2024-11-17,monthly,14,85.15,0.913,high,Personal outreach from a success manager + retention offer
8035-PWSEV,2024-11-18,monthly,6,89.25,0.9096,high,Personal outreach from a success manager + retention offer
6894-LFHLY,2024-11-30,monthly,1,75.75,0.883,high,Personal outreach from a success manager + retention offer
6683-VLCTZ,2024-12-10,monthly,20,98.55,0.8324,high,Personal outreach from a success manager + retention offer
8111-RKSPX,2024-12-09,monthly,4,72.2,0.8317,high,Personal outreach from a success manager + retention offer
2962-XPMCQ,2024-11-06,monthly,2,45.15,0.8158,high,Personal outreach from a success manager + retention offer
5442-BHQNG,2024-12-07,monthly,2,70.35,0.808,high,Personal outreach from a success manager + retention offer
5429-LWCMV,2024-11-25,monthly,12,89.15,0.8021,high,Personal outreach from a success manager + retention offer
9221-OTIVJ,2024-11-17,monthly,14,104.85,0.7971,high,Personal outreach from a success manager + retention offer
7912-SYRQT,2024-11-28,monthly,7,75.1,0.7614,high,Personal outreach from a success manager + retention offer
0811-GSDTP,2024-11-06,monthly,13,30.15,0.7553,high,Personal outreach from a success manager + retention offer
1143-NMNQJ,2024-12-17,monthly,2,85.7,0.7505,high,Personal outreach from a success manager + retention offer
9492-TOKRI,2024-11-14,monthly,18,90.0,0.7429,high,Personal outreach from a success manager + retention offer
5136-RGMZO,2024-12-19,monthly,31,71.05,0.7401,high,Personal outreach from a success manager + retention offer
7137-RYLPP,2024-12-05,monthly,37,85.7,0.7289,high,Personal outreach from a success manager + retention offer
9840-EFJQB,2024-12-26,monthly,1,74.35,0.6983,high,Personal outreach from a success manager + retention offer
3090-LETTY,2024-12-15,monthly,2,60.95,0.6828,high,Personal outreach from a success manager + retention offer
4482-FTFFX,2024-12-27,monthly,5,56.15,0.6779,high,Personal outreach from a success manager + retention offer
4854-CIDCF,2024-12-08,monthly,3,73.85,0.6766,high,Personal outreach from a success manager + retention offer
9714-EDSUC,2024-12-19,monthly,4,94.9,0.6745,high,Personal outreach from a success manager + retention offer
0916-QOFDP,2024-12-20,monthly,14,95.8,0.6694,high,Personal outreach from a success manager + retention offer
7044-YAACC,2024-12-23,monthly,4,70.2,0.6649,high,Personal outreach from a success manager + retention offer
7730-IUTDZ,2024-11-10,monthly,43,75.2,0.6632,high,Personal outreach from a success manager + retention offer
3295-YVUSR,2024-11-25,monthly,2,72.6,0.6629,high,Personal outreach from a success manager + retention offer
2920-RNCEZ,2024-12-29,monthly,1,69.95,0.6622,high,Personal outreach from a success manager + retention offer
8824-RWFXJ,2024-12-23,monthly,3,56.15,0.6554,high,Personal outreach from a success manager + retention offer
6347-DCUIK,2024-12-05,monthly,10,74.15,0.6468,high,Personal outreach from a success manager + retention offer
7278-CKDNC,2024-12-27,monthly,24,80.5,0.6402,high,Personal outreach from a success manager + retention offer
5133-POWUA,2024-12-02,monthly,1,45.8,0.6381,high,Personal outreach from a success manager + retention offer
3757-NJYBX,2024-11-14,monthly,32,106.35,0.6359,high,Personal outreach from a success manager + retention offer
4931-TRZWN,2024-11-19,monthly,13,71.95,0.632,high,Personal outreach from a success manager + retention offer
4234-XTNEA,2024-12-12,monthly,2,79.95,0.6272,high,Personal outreach from a success manager + retention offer
4285-GYRQC,2024-12-28,monthly,7,86.25,0.6198,high,Personal outreach from a success manager + retention offer
0829-XXPLX,2024-11-23,monthly,20,89.4,0.6159,high,Personal outreach from a success manager + retention offer
6185-TASNN,2024-11-07,monthly,1,46.3,0.6146,high,Personal outreach from a success manager + retention offer
1820-TQVEV,2024-11-26,monthly,1,69.55,0.612,high,Personal outreach from a success manager + retention offer
2815-CPTUL,2024-12-18,monthly,5,70.25,0.6112,high,Personal outreach from a success manager + retention offer
7365-BVCJH,2024-12-02,monthly,1,24.4,0.6091,high,Personal outreach from a success manager + retention offer
1965-DDBWU,2024-11-21,monthly,16,89.05,0.5989,high,Personal outreach from a success manager + retention offer
7517-LDMPS,2024-11-10,monthly,12,84.6,0.5984,high,Personal outreach from a success manager + retention offer
4786-UKSNZ,2024-11-17,monthly,1,20.2,0.5977,high,Personal outreach from a success manager + retention offer
2709-UQGNP,2024-12-23,monthly,10,51.65,0.5973,high,Personal outreach from a success manager + retention offer
0689-NKYLF,2024-11-28,monthly,13,83.2,0.5959,high,Personal outreach from a success manager + retention offer
3629-ZNKXA,2024-12-18,monthly,17,101.8,0.5896,high,Personal outreach from a success manager + retention offer
0515-YPMCW,2024-12-05,monthly,1,70.45,0.5755,high,Personal outreach from a success manager + retention offer
2789-HQBOU,2024-11-12,monthly,3,80.35,0.5752,high,Personal outreach from a success manager + retention offer
2100-BDNSN,2024-12-16,monthly,5,67.95,0.5722,high,Personal outreach from a success manager + retention offer
1769-GRUIK,2024-11-28,monthly,18,71.1,0.5707,high,Personal outreach from a success manager + retention offer
1319-YLZJG,2024-12-08,monthly,12,84.6,0.5695,high,Personal outreach from a success manager + retention offer
5156-UMKOW,2024-11-13,monthly,3,29.65,0.563,high,Personal outreach from a success manager + retention offer
0867-LDTTC,2024-11-19,monthly,5,75.15,0.5608,high,Personal outreach from a success manager + retention offer
6267-DCFFZ,2024-12-19,monthly,30,90.05,0.5537,high,Personal outreach from a success manager + retention offer
5167-ZFFMM,2024-12-10,monthly,1,90.85,0.547,high,Personal outreach from a success manager + retention offer
7675-OZCZG,2024-11-14,monthly,3,45.0,0.5467,high,Personal outreach from a success manager + retention offer
1197-BVMVG,2024-12-24,monthly,4,74.45,0.543,high,Personal outreach from a success manager + retention offer
5568-DMXZS,2024-11-25,monthly,8,65.45,0.5417,high,Personal outreach from a success manager + retention offer
5168-MSWXT,2024-11-20,monthly,8,94.75,0.5262,high,Personal outreach from a success manager + retention offer
8242-JSVBO,2024-11-06,monthly,7,44.65,0.5051,high,Personal outreach from a success manager + retention offer
3338-CVVEH,2024-11-16,monthly,12,94.55,0.501,high,Personal outreach from a success manager + retention offer
8543-MSDMF,2024-11-12,monthly,3,77.4,0.5001,high,Personal outreach from a success manager + retention offer
4523-WXCEF,2024-12-10,monthly,59,101.1,0.4955,high,Personal outreach from a success manager + retention offer
1452-KIOVK,2024-12-24,monthly,22,89.1,0.4857,high,Personal outreach from a success manager + retention offer
0928-XUTSN,2024-11-22,monthly,13,80.5,0.4808,high,Personal outreach from a success manager + retention offer
7459-IMVYU,2024-12-20,monthly,38,69.95,0.4803,high,Personal outreach from a success manager + retention offer
3345-PBBFH,2024-11-20,monthly,8,49.55,0.4792,high,Personal outreach from a success manager + retention offer
8270-RKSAP,2024-12-07,monthly,9,70.5,0.4751,high,Personal outreach from a success manager + retention offer
6483-OATDN,2024-11-09,monthly,8,51.3,0.4699,high,Personal outreach from a success manager + retention offer
7389-KBFIT,2024-12-27,monthly,2,30.25,0.4614,high,Personal outreach from a success manager + retention offer
7801-KICAO,2024-11-27,monthly,18,74.15,0.4506,high,Personal outreach from a success manager + retention offer
5882-CMAZQ,2024-11-08,monthly,5,34.25,0.4474,high,Personal outreach from a success manager + retention offer
0585-EGDDA,2024-11-10,monthly,40,80.0,0.447,high,Personal outreach from a success manager + retention offer
8404-FYDIB,2024-11-16,monthly,26,86.65,0.4467,high,Personal outreach from a success manager + retention offer
9907-SWKKF,2024-12-21,monthly,1,25.05,0.4366,high,Personal outreach from a success manager + retention offer
4537-DKTAL,2024-12-14,monthly,2,45.55,0.436,high,Personal outreach from a success manager + retention offer
7501-VTYLJ,2024-12-17,monthly,2,51.55,0.4298,high,Personal outreach from a success manager + retention offer
1548-ARAGG,2024-11-18,monthly,4,58.5,0.4293,high,Personal outreach from a success manager + retention offer
4140-WJAWW,2024-12-05,monthly,5,19.85,0.4208,high,Personal outreach from a success manager + retention offer
2129-ALKBS,2024-11-10,monthly,40,26.2,0.4179,high,Personal outreach from a success manager + retention offer
2974-GGUXS,2024-12-03,monthly,36,91.95,0.4162,high,Personal outreach from a success manager + retention offer
1304-BCCFO,2024-12-03,monthly,9,70.05,0.4141,high,Personal outreach from a success manager + retention offer
7562-UXTPG,2024-12-02,monthly,13,70.15,0.4087,high,Personal outreach from a success manager + retention offer
3317-VLGQT,2024-12-22,monthly,14,78.1,0.4055,high,Personal outreach from a success manager + retention offer
1251-STYSZ,2024-12-02,monthly,4,80.25,0.4012,high,Personal outreach from a success manager + retention offer
9921-EZKBY,2024-12-14,monthly,33,95.3,0.401,high,Personal outreach from a success manager + retention offer
2604-XVDAM,2024-12-28,monthly,12,43.8,0.3944,high,Personal outreach from a success manager + retention offer
7636-OWBPG,2024-12-06,monthly,12,29.35,0.3942,high,Personal outreach from a success manager + retention offer
5609-IMCGG,2024-11-29,monthly,15,84.35,0.39,high,Personal outreach from a success manager + retention offer
5533-NHFRF,2024-11-18,monthly,7,44.4,0.3855,high,Personal outreach from a success manager + retention offer
3192-LNKRK,2024-12-11,monthly,34,84.05,0.3848,high,Personal outreach from a success manager + retention offer
6734-GMPVK,2024-11-18,monthly,5,105.3,0.3826,high,Personal outreach from a success manager + retention offer
0135-NMXAP,2024-12-20,monthly,12,89.75,0.3814,high,Personal outreach from a success manager + retention offer
2362-IBOOY,2024-11-24,monthly,36,84.75,0.3791,high,Personal outreach from a success manager + retention offer
5989-PGKJB,2024-11-05,monthly,16,86.25,0.3751,high,Personal outreach from a success manager + retention offer
0674-EYYZV,2024-11-12,monthly,1,54.65,0.3748,high,Personal outreach from a success manager + retention offer
1866-OBPNR,2024-12-21,monthly,1,74.6,0.3742,high,Personal outreach from a success manager + retention offer
1751-NCDLI,2024-12-22,monthly,46,98.85,0.3728,high,Personal outreach from a success manager + retention offer
7175-NTIXE,2024-12-15,monthly,25,76.15,0.3726,high,Personal outreach from a success manager + retention offer
2811-POVEX,2024-11-30,monthly,23,88.45,0.3722,high,Personal outreach from a success manager + retention offer
5293-WXJAK,2024-12-21,monthly,11,104.05,0.3717,high,Personal outreach from a success manager + retention offer
9779-DPNEJ,2024-11-24,monthly,22,80.15,0.3707,high,Personal outreach from a success manager + retention offer
3771-PZOBW,2024-11-27,monthly,20,90.7,0.3661,high,Personal outreach from a success manager + retention offer
1818-ESQMW,2024-11-06,monthly,27,89.2,0.365,high,Personal outreach from a success manager + retention offer
5515-RUGKN,2024-11-13,monthly,8,54.75,0.3634,high,Personal outreach from a success manager + retention offer
4280-DLSHD,2024-11-10,monthly,8,54.75,0.3616,high,Personal outreach from a success manager + retention offer
6652-YFFJO,2024-11-15,monthly,11,64.9,0.3602,high,Personal outreach from a success manager + retention offer
6986-IJDHX,2024-12-04,monthly,39,86.3,0.3568,high,Personal outreach from a success manager + retention offer
5956-YHHRX,2024-12-09,monthly,21,104.35,0.3536,high,Personal outreach from a success manager + retention offer
1393-IMKZG,2024-11-25,monthly,1,95.85,0.3528,high,Personal outreach from a success manager + retention offer
3038-PQIUY,2024-11-29,monthly,38,66.15,0.3508,high,Personal outreach from a success manager + retention offer
3352-ALMCK,2024-12-02,monthly,40,102.65,0.3484,high,Personal outreach from a success manager + retention offer
0374-AACSZ,2024-12-01,monthly,1,50.15,0.3474,high,Personal outreach from a success manager + retention offer
4929-XIHVW,2024-12-05,monthly,2,95.5,0.3402,high,Personal outreach from a success manager + retention offer
0111-KLBQG,2024-12-23,monthly,32,93.95,0.3391,high,Personal outreach from a success manager + retention offer
6458-CYIDZ,2024-12-27,monthly,5,80.7,0.338,high,Personal outreach from a success manager + retention offer
7343-EOBEU,2024-11-16,monthly,3,23.6,0.3375,high,Personal outreach from a success manager + retention offer
8584-KMVXD,2024-11-10,monthly,8,75.6,0.3366,high,Personal outreach from a success manager + retention offer
4947-DSMXK,2024-12-07,monthly,34,97.7,0.3361,high,Personal outreach from a success manager + retention offer
9547-ITEFG,2024-12-18,monthly,9,102.6,0.3334,high,Personal outreach from a success manager + retention offer
1636-NTNCO,2024-12-14,monthly,4,50.95,0.3326,high,Personal outreach from a success manager + retention offer
6817-WTYHE,2024-12-25,monthly,2,44.9,0.3326,high,Personal outreach from a success manager + retention offer
4581-LNWUM,2024-11-28,monthly,13,49.15,0.3322,high,Personal outreach from a success manager + retention offer
2960-NKRSO,2024-11-27,monthly,24,85.95,0.327,medium,Automated targeted email + onboarding/usage guide
3420-YJLQT,2024-12-13,monthly,2,79.55,0.3228,medium,Automated targeted email + onboarding/usage guide
7634-WSWDB,2024-11-29,monthly,8,38.5,0.3207,medium,Automated targeted email + onboarding/usage guide
7041-TXQJH,2024-12-04,monthly,37,40.2,0.3197,medium,Automated targeted email + onboarding/usage guide
4129-LYCOI,2024-11-07,biennial,67,104.0,0.3197,medium,Automated targeted email + onboarding/usage guide
8180-AKMJV,2024-11-07,monthly,1,44.55,0.3196,medium,Automated targeted email + onboarding/usage guide
1456-TWCGB,2024-12-09,monthly,4,49.25,0.3167,medium,Automated targeted email + onboarding/usage guide
2851-STERV,2024-12-10,annual,35,73.0,0.3159,medium,Automated targeted email + onboarding/usage guide
6994-KERXL,2024-12-20,monthly,4,55.9,0.3157,medium,Automated targeted email + onboarding/usage guide
8250-ZNGGW,2024-11-20,monthly,5,59.9,0.3141,medium,Automated targeted email + onboarding/usage guide
9927-DSWDF,2024-11-25,monthly,22,104.6,0.3129,medium,Automated targeted email + onboarding/usage guide
3043-TYBNO,2024-11-12,monthly,3,60.65,0.3112,medium,Automated targeted email + onboarding/usage guide
6507-ZJSUR,2024-12-18,monthly,23,90.45,0.3092,medium,Automated targeted email + onboarding/usage guide
9469-WEJBT,2024-11-16,monthly,37,90.35,0.3079,medium,Automated targeted email + onboarding/usage guide
4983-CCWMC,2024-11-19,monthly,3,69.6,0.3035,medium,Automated targeted email + onboarding/usage guide
1257-SXUXQ,2024-11-28,monthly,5,19.45,0.3025,medium,Automated targeted email + onboarding/usage guide
7246-ZGQDF,2024-11-27,monthly,1,54.5,0.3,medium,Automated targeted email + onboarding/usage guide
1471-GIQKQ,2024-12-07,monthly,1,49.95,0.2999,medium,Automated targeted email + onboarding/usage guide
8875-AKBYH,2024-12-22,monthly,20,84.35,0.2994,medium,Automated targeted email + onboarding/usage guide
3733-LSYCE,2024-12-02,monthly,15,75.35,0.2983,medium,Automated targeted email + onboarding/usage guide
5337-IIWKZ,2024-12-22,monthly,34,44.85,0.2955,medium,Automated targeted email + onboarding/usage guide
9626-WEQRM,2024-11-15,monthly,4,29.15,0.292,medium,Automated targeted email + onboarding/usage guide
1816-FLZDK,2024-11-26,monthly,1,29.15,0.2916,medium,Automated targeted email + onboarding/usage guide
8161-QYMTT,2024-12-02,monthly,7,94.1,0.2864,medium,Automated targeted email + onboarding/usage guide
5074-FBGHB,2024-11-29,annual,64,104.65,0.2856,medium,Automated targeted email + onboarding/usage guide
4612-SSVHJ,2024-12-07,monthly,20,81.45,0.2852,medium,Automated targeted email + onboarding/usage guide
7994-UYIVZ,2024-12-15,monthly,8,85.65,0.2823,medium,Automated targeted email + onboarding/usage guide
1921-KYSAY,2024-12-02,annual,41,68.6,0.279,medium,Automated targeted email + onboarding/usage guide
0128-MKWSG,2024-11-19,monthly,26,45.8,0.2788,medium,Automated targeted email + onboarding/usage guide
4298-OYIFC,2024-11-23,monthly,15,103.45,0.2785,medium,Automated targeted email + onboarding/usage guide
0188-GWFLE,2024-11-23,monthly,2,20.05,0.2759,medium,Automated targeted email + onboarding/usage guide
7140-ADSMJ,2024-11-16,monthly,8,20.45,0.2745,medium,Automated targeted email + onboarding/usage guide
3572-UOLYZ,2024-12-22,monthly,46,84.8,0.2734,medium,Automated targeted email + onboarding/usage guide
5393-HJZSM,2024-11-23,monthly,32,76.3,0.2725,medium,Automated targeted email + onboarding/usage guide
4636-OLWOE,2024-12-06,annual,54,61.0,0.2703,medium,Automated targeted email + onboarding/usage guide
1261-FWTTE,2024-12-11,monthly,23,34.65,0.2687,medium,Automated targeted email + onboarding/usage guide
6806-YDEUL,2024-11-21,monthly,6,19.5,0.2678,medium,Automated targeted email + onboarding/usage guide
7442-YGZFK,2024-12-01,monthly,1,49.8,0.2673,medium,Automated targeted email + onboarding/usage guide
0939-EREMR,2024-11-22,monthly,13,53.45,0.2646,medium,Automated targeted email + onboarding/usage guide
1215-VFYVK,2024-12-17,monthly,4,48.25,0.2639,medium,Automated targeted email + onboarding/usage guide
1658-TJVOA,2024-12-20,monthly,6,74.1,0.2623,medium,Automated targeted email + onboarding/usage guide
3413-BMNZE,2024-12-16,monthly,1,45.25,0.2603,medium,Automated targeted email + onboarding/usage guide
9279-CJEOJ,2024-12-07,monthly,21,95.4,0.2581,medium,Automated targeted email + onboarding/usage guide
9281-OFDMF,2024-12-04,monthly,39,90.7,0.2581,medium,Automated targeted email + onboarding/usage guide
7245-JMTTQ,2024-12-29,annual,51,111.5,0.258,medium,Automated targeted email + onboarding/usage guide
6425-YQLLO,2024-12-24,annual,66,105.95,0.2573,medium,Automated targeted email + onboarding/usage guide
2408-TZMJL,2024-11-15,annual,59,110.15,0.2552,medium,Automated targeted email + onboarding/usage guide
4822-LPTYJ,2024-12-13,biennial,72,103.75,0.2532,medium,Automated targeted email + onboarding/usage guide
4945-RVMTE,2024-12-16,monthly,28,59.55,0.2518,medium,Automated targeted email + onboarding/usage guide
8455-HIRAQ,2024-12-19,monthly,8,44.45,0.2504,medium,Automated targeted email + onboarding/usage guide
6231-WFGFH,2024-11-15,monthly,4,20.5,0.2496,medium,Automated targeted email + onboarding/usage guide
8620-RJPZN,2024-12-14,monthly,1,20.7,0.2495,medium,Automated targeted email + onboarding/usage guide
3638-DIMPH,2024-11-11,annual,13,43.8,0.2493,medium,Automated targeted email + onboarding/usage guide
2386-OWURY,2024-12-07,monthly,58,95.3,0.2477,medium,Automated targeted email + onboarding/usage guide
6603-YRDCJ,2024-11-26,biennial,33,61.05,0.246,medium,Automated targeted email + onboarding/usage guide
9074-KGVOX,2024-12-27,monthly,50,39.45,0.2458,medium,Automated targeted email + onboarding/usage guide
8695-WDYEA,2024-12-16,monthly,1,51.25,0.2434,medium,Automated targeted email + onboarding/usage guide
7319-VENRZ,2024-12-30,monthly,7,64.3,0.2429,medium,Automated targeted email + onboarding/usage guide
1855-CFULU,2024-12-16,monthly,4,20.05,0.2429,medium,Automated targeted email + onboarding/usage guide
0689-DSXGL,2024-12-24,monthly,52,85.8,0.2427,medium,Automated targeted email + onboarding/usage guide
2885-HIJDH,2024-12-29,biennial,69,86.9,0.2422,medium,Automated targeted email + onboarding/usage guide
0237-YFUTL,2024-11-11,monthly,50,109.65,0.2421,medium,Automated targeted email + onboarding/usage guide
4130-MZLCC,2024-12-24,monthly,5,50.55,0.2401,medium,Automated targeted email + onboarding/usage guide
5628-FCGYG,2024-12-29,monthly,21,84.1,0.2392,medium,Automated targeted email + onboarding/usage guide
2308-STERM,2024-11-05,monthly,2,19.4,0.2381,medium,Automated targeted email + onboarding/usage guide
5815-HGGHV,2024-12-28,annual,20,64.15,0.238,medium,Automated targeted email + onboarding/usage guide
6704-UTUKK,2024-11-20,monthly,29,45.9,0.237,medium,Automated targeted email + onboarding/usage guide
8735-NBLWT,2024-12-03,monthly,9,20.4,0.2344,medium,Automated targeted email + onboarding/usage guide
4393-RYCRE,2024-11-11,annual,44,106.05,0.2339,medium,Automated targeted email + onboarding/usage guide
5025-GOOKI,2024-11-10,monthly,20,18.9,0.2336,medium,Automated targeted email + onboarding/usage guide
1810-MVMAI,2024-11-30,monthly,30,67.6,0.2286,medium,Automated targeted email + onboarding/usage guide
1156-ZFYDO,2024-11-05,monthly,1,19.75,0.2271,medium,Automated targeted email + onboarding/usage guide
3452-GWUIN,2024-11-21,monthly,19,94.95,0.2252,medium,Automated targeted email + onboarding/usage guide
3597-MVHJT,2024-12-01,monthly,27,95.6,0.2241,medium,Automated targeted email + onboarding/usage guide
3955-JBZZM,2024-11-22,monthly,20,78.8,0.2218,medium,Automated targeted email + onboarding/usage guide
9495-SKLKD,2024-12-02,monthly,45,95.95,0.2213,medium,Automated targeted email + onboarding/usage guide
7312-XSBAT,2024-12-09,monthly,1,49.75,0.2209,medium,Automated targeted email + onboarding/usage guide
6377-KSLXC,2024-12-05,monthly,5,19.95,0.2208,medium,Automated targeted email + onboarding/usage guide
7251-XFOIL,2024-11-17,monthly,61,89.2,0.219,medium,Automated targeted email + onboarding/usage guide
9396-ZSFLL,2024-12-02,monthly,15,48.85,0.2184,medium,Automated targeted email + onboarding/usage guide
6807-SIWJI,2024-11-11,annual,38,104.85,0.2173,medium,Automated targeted email + onboarding/usage guide
4781-ZXYGU,2024-12-08,monthly,1,20.15,0.2172,medium,Automated targeted email + onboarding/usage guide
3845-JHAMY,2024-11-24,monthly,16,35.5,0.2151,medium,Automated targeted email + onboarding/usage guide
1095-JUDTC,2024-12-16,monthly,47,95.05,0.2146,medium,Automated targeted email + onboarding/usage guide
3640-JQGJG,2024-12-14,monthly,13,44.8,0.2136,medium,Automated targeted email + onboarding/usage guide
2697-NQBPF,2024-12-16,monthly,34,105.35,0.2135,medium,Automated targeted email + onboarding/usage guide
8990-ZXLSU,2024-12-06,monthly,9,69.05,0.2128,medium,Automated targeted email + onboarding/usage guide
4884-TVUQF,2024-12-17,biennial,57,101.3,0.2125,medium,Automated targeted email + onboarding/usage guide
1656-DRSMG,2024-11-24,monthly,63,109.85,0.2092,medium,Automated targeted email + onboarding/usage guide
7880-XSOJX,2024-12-05,monthly,4,42.4,0.2091,medium,Automated targeted email + onboarding/usage guide
2074-GUHPQ,2024-12-27,monthly,17,92.7,0.2089,medium,Automated targeted email + onboarding/usage guide
4323-OHFOW,2024-11-22,annual,70,105.55,0.2079,medium,Automated targeted email + onboarding/usage guide
0253-ZTEOB,2024-12-28,biennial,48,79.65,0.207,medium,Automated targeted email + onboarding/usage guide
7054-ENNGU,2024-11-29,monthly,9,50.85,0.206,medium,Automated targeted email + onboarding/usage guide
6888-SBYAI,2024-12-15,monthly,1,50.7,0.2055,medium,Automated targeted email + onboarding/usage guide
4939-KYYPY,2024-12-16,monthly,27,59.45,0.205,medium,Automated targeted email + onboarding/usage guide
6710-HSJRD,2024-11-10,monthly,61,114.1,0.2044,medium,Automated targeted email + onboarding/usage guide
1777-JYQPJ,2024-12-26,monthly,2,24.3,0.1966,medium,Automated targeted email + onboarding/usage guide
7989-VCQOH,2024-12-15,monthly,18,83.25,0.1961,medium,Automated targeted email + onboarding/usage guide
3316-UWXUY,2024-12-25,monthly,50,93.5,0.1941,medium,Automated targeted email + onboarding/usage guide
